country,NAICS4,d_import
Australia,1111,9112023.0
Australia,1112,4262147.0
Australia,1113,9120992.0
Australia,1114,1092369.0
Australia,1119,6865901.0
Australia,1129,2377.0
Australia,1132,10498987.0
Australia,1133,128414.0
Australia,1141,51023991.0
Australia,2111,22717295.0
Australia,2121,1796561.0
Australia,2122,57806878.0
Australia,2123,8825969.0
Australia,3111,7072249.0
Australia,3112,101207266.0
Australia,3113,122560102.0
Australia,3114,160071156.0
Australia,3115,45583130.0
Australia,3116,823690.0
Australia,3117,57308289.0
Australia,3118,68089574.0
Australia,3119,125759092.0
Australia,3121,12284983.0
Australia,3122,12955063.0
Australia,3131,-2257238.0
Australia,3132,187125221.0
Australia,3133,49555989.0
Australia,3141,650239268.0
Australia,3149,459197342.0
Australia,3151,115123777.0
Australia,3152,3085704322.0
Australia,3159,371568799.0
Australia,3161,45216037.0
Australia,3162,682891939.0
Australia,3169,885657784.0
Australia,3211,108195419.0
Australia,3212,159749434.0
Australia,3219,404276618.0
Australia,3221,169400988.0
Australia,3222,419333571.0
Australia,3231,411492057.0
Australia,3241,115397273.0
Australia,3251,598536030.0
Australia,3252,108510076.0
Australia,3253,322060782.0
Australia,3254,317777033.0
Australia,3255,30941100.0
Australia,3256,174377577.0
Australia,3259,602073828.0
Australia,3261,1324614939.0
Australia,3262,938998268.0
Australia,3271,303850765.0
Australia,3272,287055685.0
Australia,3273,37953463.0
Australia,3274,1336707.0
Australia,3279,164983152.0
Australia,3311,442007939.0
Australia,3312,55454742.0
Australia,3313,298479988.0
Australia,3314,141309865.0
Australia,3315,59655116.0
Australia,3321,6688318.0
Australia,3322,227710643.0
Australia,3323,739719970.0
Australia,3324,181121917.0
Australia,3325,289730279.0
Australia,3326,250100899.0
Australia,3327,151628132.0
Australia,3329,1050569207.0
Australia,3331,1242391952.0
Australia,3332,378188665.0
Australia,3333,641218380.0
Australia,3334,578594819.0
Australia,3335,135676456.0
Australia,3336,183967786.0
Australia,3339,1957329343.0
Australia,3341,5499097181.0
Australia,3342,4907617266.0
Australia,3343,1584468317.0
Australia,3344,3153091678.0
Australia,3345,568610309.0
Australia,3346,9565246.0
Australia,3351,531348077.0
Australia,3352,1090497818.0
Australia,3353,423150594.0
Australia,3359,873047562.0
Australia,3361,179267791.0
Australia,3362,222996685.0
Australia,3363,763467441.0
Australia,3364,18613076.0
Australia,3365,410751474.0
Australia,3366,194027446.0
Australia,3369,87517635.0
Australia,3371,1354445773.0
Australia,3372,411654950.0
Australia,3379,356317974.0
Australia,3391,422699621.0
Australia,3399,2807119648.0
Australia,5112,18240098.0
Australia,9100,6359532.0
Australia,9200,89331752.0
Australia,9900,84300121.0
Finland,1111,279227.0
Finland,1112,-965.0
Finland,1113,274559.0
Finland,1114,-965.0
Finland,1119,-1104043.0
Finland,1129,-6838.0
Finland,1132,-13691.0
Finland,1133,-4797.0
Finland,1141,351046.0
Finland,2111,43777.0
Finland,2122,-321039.0
Finland,2123,1236722.0
Finland,3111,873015.0
Finland,3112,705881.0
Finland,3113,-199069.0
Finland,3114,1170272.0
Finland,3115,177771.0
Finland,3116,71965.0
Finland,3117,6197.0
Finland,3118,30632.0
Finland,3119,1974377.0
Finland,3121,66013.0
Finland,3131,91958.0
Finland,3132,12777330.0
Finland,3133,1613583.0
Finland,3141,22218703.0
Finland,3149,27647514.0
Finland,3151,6153627.0
Finland,3152,230144680.0
Finland,3159,163132999.0
Finland,3161,4318310.0
Finland,3162,23865763.0
Finland,3169,47313951.0
Finland,3211,2415409.0
Finland,3212,7107899.0
Finland,3219,15279799.0
Finland,3221,5191433.0
Finland,3222,8601262.0
Finland,3231,16715027.0
Finland,3241,767631.0
Finland,3251,23934056.0
Finland,3252,5898740.0
Finland,3253,660300.0
Finland,3254,10717042.0
Finland,3255,332270.0
Finland,3256,4900802.0
Finland,3259,-1591173.0
Finland,3261,48639492.0
Finland,3262,44451028.0
Finland,3271,20702991.0
Finland,3272,20678559.0
Finland,3273,703586.0
Finland,3274,52850.0
Finland,3279,13878880.0
Finland,3311,43878153.0
Finland,3312,10670899.0
Finland,3313,18563705.0
Finland,3314,4236654.0
Finland,3315,3532884.0
Finland,3321,23349.0
Finland,3322,18797962.0
Finland,3323,20513656.0
Finland,3324,6089791.0
Finland,3325,25264098.0
Finland,3326,19986824.0
Finland,3327,9998166.0
Finland,3329,93502928.0
Finland,3331,106391150.0
Finland,3332,46717972.0
Finland,3333,3696659.0
Finland,3334,27114884.0
Finland,3335,24229558.0
Finland,3336,23215347.0
Finland,3339,159704818.0
Finland,3341,34044457.0
Finland,3342,724647703.0
Finland,3343,-51939000.0
Finland,3344,9666588.0
Finland,3345,-25446950.0
Finland,3346,595336.0
Finland,3351,49651727.0
Finland,3352,78864409.0
Finland,3353,76243738.0
Finland,3359,69913619.0
Finland,3361,7218166.0
Finland,3362,18736262.0
Finland,3363,53118923.0
Finland,3364,6150717.0
Finland,3365,5408.0
Finland,3366,114672348.0
Finland,3369,9804615.0
Finland,3371,41799960.0
Finland,3372,15437451.0
Finland,3379,13741408.0
Finland,3391,30773139.0
Finland,3399,113483976.0
Finland,5112,72169.0
Finland,9100,25398.0
Finland,9200,5976378.0
Finland,9900,235527.0
Japan,1111,-44836768.0
Japan,1112,11404565.0
Japan,1113,41423771.0
Japan,1114,4277553.0
Japan,1119,232300229.0
Japan,1124,-54057183.0
Japan,1129,-15269182.0
Japan,1132,91490183.0
Japan,1133,-11637454.0
Japan,1141,346197376.0
Japan,2111,-611735733.0
Japan,2121,517632953.0
Japan,2122,9724694.0
Japan,2123,233728827.0
Japan,3111,150490481.0
Japan,3112,319867940.0
Japan,3113,176034928.0
Japan,3114,1165709132.0
Japan,3115,150337926.0
Japan,3116,1106825462.0
Japan,3117,751878327.0
Japan,3118,163001571.0
Japan,3119,834611700.0
Japan,3121,-35859342.0
Japan,3122,7859957.0
Japan,3131,130584105.0
Japan,3132,1254699958.0
Japan,3133,204057827.0
Japan,3141,2500620956.0
Japan,3149,2133729760.0
Japan,3151,856675867.0
Japan,3152,12957424573.0
Japan,3159,2283685271.0
Japan,3161,570402009.0
Japan,3162,1888366165.0
Japan,3169,4046466215.0
Japan,3211,365207207.0
Japan,3212,1093709646.0
Japan,3219,1051640769.0
Japan,3221,640548478.0
Japan,3222,1727322196.0
Japan,3231,1249435625.0
Japan,3241,451027691.0
Japan,3251,7873178932.0
Japan,3252,820714120.0
Japan,3253,358624134.0
Japan,3254,1352777163.0
Japan,3255,107954470.0
Japan,3256,449141519.0
Japan,3259,3159009660.0
Japan,3261,4743575216.0
Japan,3262,1709054789.0
Japan,3271,735015225.0
Japan,3272,870650146.0
Japan,3273,62453267.0
Japan,3274,17794167.0
Japan,3279,2479263154.0
Japan,3311,2126052232.0
Japan,3312,224794312.0
Japan,3313,1220742131.0
Japan,3314,1599145622.0
Japan,3315,151654695.0
Japan,3321,4869248.0
Japan,3322,483472950.0
Japan,3323,1393096589.0
Japan,3324,422613341.0
Japan,3325,1194832003.0
Japan,3326,469454978.0
Japan,3327,294909646.0
Japan,3329,3096006471.0
Japan,3331,3180328072.0
Japan,3332,2233323111.0
Japan,3333,3939048214.0
Japan,3334,3856963293.0
Japan,3335,941782691.0
Japan,3336,1307818747.0
Japan,3339,5463961481.0
Japan,3341,16017450561.0
Japan,3342,18496859191.0
Japan,3343,10202674873.0
Japan,3344,13375609509.0
Japan,3345,6033956136.0
Japan,3346,-78335852.0
Japan,3351,1829348108.0
Japan,3352,5171480790.0
Japan,3353,2754035369.0
Japan,3359,4228092596.0
Japan,3361,15070776.0
Japan,3362,632151142.0
Japan,3363,6137508743.0
Japan,3364,148717882.0
Japan,3365,22400238.0
Japan,3366,43908096.0
Japan,3369,905350753.0
Japan,3371,1580983189.0
Japan,3372,938127641.0
Japan,3379,696841416.0
Japan,3391,2608966377.0
Japan,3399,10315751679.0
Japan,5112,50082275.0
Japan,9100,393126169.0
Japan,9200,32952189.0
Japan,9900,329967767.0
New Zealand,1111,2357802.802
New Zealand,1112,243829.017
New Zealand,1113,2056256.85
New Zealand,1114,17013.316
New Zealand,1119,-479990.071
New Zealand,1124,-173686.151
New Zealand,1129,188250.999
New Zealand,1132,2388998.1689999998
New Zealand,1133,-37174.328
New Zealand,1141,4678562.831
New Zealand,2111,81839.247
New Zealand,2121,222961.44700000001
New Zealand,2122,822267.645
New Zealand,2123,5363514.215
New Zealand,3111,2448760.171
New Zealand,3112,9107026.677
New Zealand,3113,22408401.232
New Zealand,3114,29753959.321000002
New Zealand,3115,8225604.482000001
New Zealand,3116,354591.447
New Zealand,3117,4991641.976
New Zealand,3118,11580738.191
New Zealand,3119,30471903.28
New Zealand,3121,2182407.186
New Zealand,3122,1699859.782
New Zealand,3131,13358689.552000001
New Zealand,3132,46276198.647
New Zealand,3133,15660800.443
New Zealand,3141,100666789.79100001
New Zealand,3149,76711899.523
New Zealand,3151,21472091.86
New Zealand,3152,580820876.876
New Zealand,3159,65202232.25399999
New Zealand,3161,4934115.433
New Zealand,3162,128453446.143
New Zealand,3169,103273832.723
New Zealand,3211,5373391.2469999995
New Zealand,3212,14396167.177000001
New Zealand,3219,20736355.687
New Zealand,3221,67325193.57
New Zealand,3222,82588860.065
New Zealand,3231,60451146.251
New Zealand,3241,3879526.255
New Zealand,3251,119344869.92500001
New Zealand,3252,20696197.853
New Zealand,3253,102125291.146
New Zealand,3254,64429496.254999995
New Zealand,3255,4073425.466
New Zealand,3256,36639656.135
New Zealand,3259,90123108.682
New Zealand,3261,175744623.535
New Zealand,3262,113526023.663
New Zealand,3271,45261310.543
New Zealand,3272,62770655.119
New Zealand,3273,4125687.075
New Zealand,3274,268252.802
New Zealand,3279,37739385.659
New Zealand,3311,60522695.865
New Zealand,3312,17240141.189
New Zealand,3313,28008227.537
New Zealand,3314,23122988.857
New Zealand,3315,4398553.347
New Zealand,3321,1714902.1360000002
New Zealand,3322,37237534.261
New Zealand,3323,23601912.955
New Zealand,3324,22212327.888
New Zealand,3325,29903653.883
New Zealand,3326,22547038.649
New Zealand,3327,20629574.59
New Zealand,3329,123255380.29499999
New Zealand,3331,102499492.177
New Zealand,3332,66855418.265
New Zealand,3333,92571400.55
New Zealand,3334,67030310.495000005
New Zealand,3335,13690187.476
New Zealand,3336,22919150.089
New Zealand,3339,186940178.608
New Zealand,3341,725155564.125
New Zealand,3342,568342488.235
New Zealand,3343,160650770.268
New Zealand,3344,255032132.662
New Zealand,3345,93020984.53
New Zealand,3346,7772837.419
New Zealand,3351,86733552.781
New Zealand,3352,181010858.1
New Zealand,3353,50943236.342
New Zealand,3359,105253952.761
New Zealand,3361,12392183.286
New Zealand,3362,24557429.305
New Zealand,3363,67244973.295
New Zealand,3364,2994470.4620000003
New Zealand,3365,65868781.602
New Zealand,3366,3211031.014
New Zealand,3369,21961154.944
New Zealand,3371,157375008.416
New Zealand,3372,63764000.23899999
New Zealand,3379,28001229.891000003
New Zealand,3391,57481652.483
New Zealand,3399,344691300.41400003
New Zealand,5112,8476638.274
New Zealand,9100,1386238.86
New Zealand,9200,10692665.994
New Zealand,9900,14935548.126
Norway,1111,1166898.0
Norway,1112,69966.0
Norway,1113,962861.0
Norway,1114,69966.0
Norway,1119,830966.0
Norway,1124,-2220.0
Norway,1129,3229.0
Norway,1132,990976.0
Norway,1133,3370.0
Norway,1141,2573370.0
Norway,2121,-3309497.0
Norway,2122,2516.0
Norway,2123,3089549.0
Norway,3111,1190842.0
Norway,3112,37056594.0
Norway,3113,3830147.0
Norway,3114,14335997.0
Norway,3115,1513296.0
Norway,3116,62612.0
Norway,3117,4798192.0
Norway,3118,519938.0
Norway,3119,6546330.0
Norway,3121,-3609.0
Norway,3131,10508713.0
Norway,3132,26274966.0
Norway,3133,6175164.0
Norway,3141,98308773.0
Norway,3149,126610215.0
Norway,3151,34851677.0
Norway,3152,913827496.0
Norway,3159,250140745.0
Norway,3161,11735061.0
Norway,3162,240406490.0
Norway,3169,140402574.0
Norway,3211,9614277.0
Norway,3212,19724623.0
Norway,3219,59912990.0
Norway,3221,3941045.0
Norway,3222,61331401.0
Norway,3231,44965752.0
Norway,3241,541658.0
Norway,3251,40929077.0
Norway,3252,11730366.0
Norway,3253,1313877.0
Norway,3254,9503016.0
Norway,3255,796085.0
Norway,3256,8692609.0
Norway,3259,70965530.0
Norway,3261,142512860.0
Norway,3262,80320232.0
Norway,3271,42553280.0
Norway,3272,61049502.0
Norway,3273,2031986.0
Norway,3274,50972.0
Norway,3279,40533578.0
Norway,3311,8816989.0
Norway,3312,6583664.0
Norway,3313,135979527.0
Norway,3314,151799906.0
Norway,3315,7551318.0
Norway,3321,72485.0
Norway,3322,53026157.0
Norway,3323,38248718.0
Norway,3324,22739024.0
Norway,3325,36409133.0
Norway,3326,37284681.0
Norway,3327,21526645.0
Norway,3329,126203511.0
Norway,3331,121602199.0
Norway,3332,58959856.0
Norway,3333,107959577.0
Norway,3334,49260065.0
Norway,3335,17052355.0
Norway,3336,19418391.0
Norway,3339,228759982.0
Norway,3341,1308878201.0
Norway,3342,898822539.0
Norway,3343,306574924.0
Norway,3344,485096512.0
Norway,3345,145946806.0
Norway,3346,17514358.0
Norway,3351,165827415.0
Norway,3352,236404404.0
Norway,3353,50131430.0
Norway,3359,127299435.0
Norway,3361,5876556.0
Norway,3362,21933826.0
Norway,3363,69937244.0
Norway,3364,646107.0
Norway,3365,258689.0
Norway,3366,555584792.0
Norway,3369,44958172.0
Norway,3371,215673036.0
Norway,3372,46075710.0
Norway,3379,19563841.0
Norway,3391,81878726.0
Norway,3399,524087951.0
Norway,5112,17179926.0
Norway,9100,5579290.0
Norway,9200,7166478.0
Norway,9900,29741012.0
Sweden,1111,1936117.0
Sweden,1113,-334746.0
Sweden,1114,154.0
Sweden,1119,1573287.0
Sweden,1124,462.0
Sweden,1129,22814.0
Sweden,1132,2434567.0
Sweden,1133,59040.0
Sweden,1141,2052161.0
Sweden,2122,762744.0
Sweden,2123,5078518.0
Sweden,3111,2325905.0
Sweden,3112,462098.0
Sweden,3113,3190509.0
Sweden,3114,14821037.0
Sweden,3115,2508019.0
Sweden,3116,42699.0
Sweden,3117,17967268.0
Sweden,3118,3078955.0
Sweden,3119,11517205.0
Sweden,3121,243906.0
Sweden,3122,308.0
Sweden,3131,1307100.0
Sweden,3132,42388592.0
Sweden,3133,7190113.0
Sweden,3141,137765939.0
Sweden,3149,117766227.0
Sweden,3151,28571036.0
Sweden,3152,795221787.0
Sweden,3159,319482054.0
Sweden,3161,15051571.0
Sweden,3162,166281191.0
Sweden,3169,206815389.0
Sweden,3211,10985904.0
Sweden,3212,25939788.0
Sweden,3219,68230987.0
Sweden,3221,15931001.0
Sweden,3222,53999567.0
Sweden,3231,73725936.0
Sweden,3241,945247.0
Sweden,3251,67446583.0
Sweden,3252,15766978.0
Sweden,3253,4438935.0
Sweden,3254,18837090.0
Sweden,3255,1691500.0
Sweden,3256,10153315.0
Sweden,3259,3386562.0
Sweden,3261,178798272.0
Sweden,3262,129895639.0
Sweden,3271,66555002.0
Sweden,3272,103446953.0
Sweden,3273,4287500.0
Sweden,3274,11407.0
Sweden,3279,39721514.0
Sweden,3311,6077600.0
Sweden,3312,7631611.0
Sweden,3313,11074131.0
Sweden,3314,25303754.0
Sweden,3315,16276596.0
Sweden,3321,41004.0
Sweden,3322,53278676.0
Sweden,3323,42232150.0
Sweden,3324,22125382.0
Sweden,3325,71438592.0
Sweden,3326,49703339.0
Sweden,3327,31477378.0
Sweden,3329,223050448.0
Sweden,3331,253985728.0
Sweden,3332,97299681.0
Sweden,3333,54769810.0
Sweden,3334,97749443.0
Sweden,3335,48524535.0
Sweden,3336,56483314.0
Sweden,3339,274937963.0
Sweden,3341,312660440.0
Sweden,3342,759768127.0
Sweden,3343,105270131.0
Sweden,3344,450936818.0
Sweden,3345,73233671.0
Sweden,3346,1335018.0
Sweden,3351,223899425.0
Sweden,3352,271359726.0
Sweden,3353,120662140.0
Sweden,3359,198900822.0
Sweden,3361,11266285.0
Sweden,3362,39393571.0
Sweden,3363,133221724.0
Sweden,3364,7070929.0
Sweden,3365,2041890.0
Sweden,3366,3573284.0
Sweden,3369,19145658.0
Sweden,3371,343254105.0
Sweden,3372,119513482.0
Sweden,3379,43180222.0
Sweden,3391,125827878.0
Sweden,3399,579084961.0
Sweden,5112,1158137.0
Sweden,9100,9030062.0
Sweden,9200,27052116.0
Sweden,9900,2889163.0
